Kanton,Percentage Electric Cars
Aargau,9.701982407772089
Appenzell Ausserrhoden,10.816468946266573
Appenzell Innerrhoden,11.6869918699187
Basel-Landschaft,10.248507031400502
Basel-Stadt,17.857142857142858
Bern,9.732205330449716
Fribourg,7.985336308575072
Genève,9.415371140792644
Glarus,10.352673492605232
Graubünden,8.25508607198748
Jura,10.711553175210407
Luzern,9.381663113006397
Neuchâtel,11.260330578512397
Nidwalden,11.30638547158758
Obwalden,11.968408262454435
Schaffhausen,8.99390243902439
Schwyz,9.272875816993464
Solothurn,8.578274760383387
St. Gallen,9.079245283018867
Thurgau,9.509639021865702
Ticino,9.887459807073954
Uri,14.56953642384106
Valais,8.283902638576397
Vaud,9.14320578750109
Zug,11.336810321163876
Zürich,9.805831999443246
